x,1000rpm,1400rpm,1600rpm,1800rpm,2108rpm
0,0.0429,1349.3,2648.4,3454.0,4350.2,5971.5
1,0.0435,1349.3,2648.4,3454.0,4350.2,5971.5
2,0.0439,1349.4,2648.4,3454.0,4350.2,5971.5
3,0.0444,1349.4,2648.4,3454.0,4350.3,5971.5
4,0.0452,1349.4,2648.4,3454.0,4350.3,5971.6
5,0.6092,1359.4,2648.1,3453.7,4369.6,5991.0
6,0.6335,1359.6,2648.4,3454.0,4370.4,5991.7
7,0.6339,1359.7,2648.4,3454.0,4370.4,5991.7
8,0.6343,1359.7,2648.4,3454.0,4370.4,5991.7
9,0.6352,1359.7,2648.4,3454.0,4370.4,5991.7
10,1.1756,1359.4,2657.6,3463.5,4380.4,6001.3
11,1.2007,1358.4,2658.1,3463.8,4380.5,6001.7
12,1.2015,1358.3,2658.1,3463.8,4380.5,6001.8
13,1.2234,1356.9,2658.4,3464.1,4380.5,6002.2
14,1.2238,1356.8,2658.4,3464.1,4380.5,6002.2
15,1.3408,1349.3,2658.9,3464.9,4380.2,6004.4
16,1.4358,1350.6,2658.4,3465.1,4379.7,6006.3
17,1.7907,1357.8,2660.3,3464.2,4380.4,6011.8
18,1.7915,1357.8,2660.3,3464.2,4380.5,6011.8
19,1.8138,1358.1,2660.2,3464.0,4380.8,6012.0
20,1.9307,1359.4,2659.5,3463.6,4383.6,6012.5
21,2.0258,1359.5,2658.4,3463.9,4386.2,6012.5
22,2.0498,1359.4,2658.1,3464.0,4386.8,6012.5
23,2.3806,1352.8,2651.4,3464.9,4390.5,6011.8
24,2.3814,1352.8,2651.4,3464.9,4390.5,6011.8
25,2.4971,1349.3,2648.7,3464.8,4387.8,6012.0
26,2.6397,1345.0,2645.2,3464.0,4382.4,6012.3
27,2.8521,1338.2,2640.2,3454.0,4373.4,6012.4
28,2.9461,1334.8,2638.3,3451.2,4370.7,6012.0
29,2.9706,1333.9,2637.8,3450.7,4370.3,6011.8
