,omega_0 [rad/s],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
0,0.4224374,1.0,(-0.25493174602020435+0.33892437376104845j),(-0.10688037510311532+0.06799607568702279j),(-0.7070354052473754+0.14432023789765241j)
1,0.4716629,1.0,(-0.044201685934777996+0.3428794029941288j),(-0.08573405751838992+0.0705692187109831j),(-0.5872894113656946+0.13919565941008935j)
2,0.5183458,1.0,(0.1281053847164472+0.32515067316150315j),(-0.06833948808466161+0.07116358429572386j),(-0.4940732255740028+0.12228328438757949j)
3,0.5628436,1.0,(0.27002800610017996+0.2957367956033409j),(-0.05382893565799455+0.07077789513999314j),(-0.4225991315981839+0.09972422315618651j)
4,0.605437,1.0,(0.3879853254089538+0.26010197792294093j),(-0.041496317077100976+0.06995040983965908j),(-0.3690369586604397+0.0749381215409251j)
5,0.6463515,1.0,(0.4868212026375006+0.22121051088977498j),(-0.03079131954135218+0.06896296769976536j),(-0.330481838930953+0.0498547125069293j)
6,0.6857713,1.0,(0.5700987382016955+0.18065577733674995j),(-0.021290635604194356+0.0679534939070413j),(-0.30477524859375205+0.025597368475846594j)
7,0.723849,1.0,(0.640390328154214+0.1392595228048733j),(-0.01266595428748445+0.0669734454588446j),(-0.2903124020812927+0.0028499468464099897j)
8,0.7607132,1.0,(0.6995185721964945+0.09743231824265577j),(-0.004661570664592593+0.06602153849030812j),(-0.285890159550912-0.017925784299193975j)
9,0.7964728,1.0,(0.7487292620719783+0.05537763038687432j),(0.002922358620497119+0.06506019862104401j),(-0.2905829643245522-0.036367197202654966j)
10,0.8312218,1.0,(0.7888309199128807+0.013222488141347633j),(0.010240865385199409+0.06402564252752166j),(-0.3036483673079311-0.05213803900284729j)
11,0.865041,1.0,(0.8202852369232811-0.028891365755678633j),(0.01740963640935687+0.06283165009185943j),(-0.324439469702899-0.06488423163034512j)
12,0.8980014,1.0,(0.8433034572709746-0.0707347630512079j),(0.024506758664579863+0.061374905556927886j),(-0.3523398762174792-0.07421302390405977j)
13,0.9301654,1.0,(0.8579151310388569-0.11193843724460484j),(0.0315719267563961+0.05953700916675413j),(-0.3866935066381731-0.07968963746721147j)
14,0.961588,1.0,(0.8640592004187756-0.1519395268709131j),(0.0386020781007043+0.05719157916153537j),(-0.4267440298352188-0.08085529669540581j)
15,0.9923182,1.0,(0.8616758758852693-0.18995697726810368j),(0.0455478864915731+0.0542119357507481j),(-0.4715855131445439-0.0772667268820049j)
16,1.0224,1.0,(0.8508177166962106-0.22498236009076517j),(0.0523100081063166+0.050484218000912275j),(-0.5201234123902371-0.06855949784294338j)
17,1.051872,1.0,(0.8317676006412562-0.2558176318275506j),(0.058740386194570254+0.045923708139901216j),(-0.5710667524408015-0.054535002812096334j)
18,1.080771,1.0,(0.8051451411717959-0.281158896812599j),(0.06464943258171603+0.040492929085543417j),(-0.6229643253515429-0.0352517442877332j)
19,1.109129,1.0,(0.7719881847899495-0.29973501968405825j),(0.06982229806230372+0.03421998953719842j),(-0.6742852557716278-0.01111656183940013j)
20,1.136975,1.0,(0.7337635309023163-0.3104833072342499j),(0.07404338698795837+0.027209500685487283j),(-0.7235477196192288+0.017069520884777534j)
21,1.164335,1.0,(0.6922948136169955-0.31273486781844995j),(0.07712733932433284+0.019642442883427827j),(-0.7694753391104697+0.04811899059799918j)
22,1.191235,1.0,(0.6496023295800505-0.306354844190314j),(0.07894822030121569+0.011761793936110126j),(-0.8111554469749964+0.08054984675929089j)
23,1.217696,1.0,(0.6076917261846498-0.2918054959191102j),(0.07946153627521556+0.0038466444476081742j),(-0.8481281937836537+0.11273359326520702j)
24,1.24374,1.0,(0.5683219421360794-0.27009845370115043j),(0.07871173409273073-0.00382342187920409j),(-0.8804235856708896+0.14308616665434112j)
25,1.269386,1.0,(0.532833440823047-0.24265239279282225j),(0.0768227402695611-0.01100040064594036j),(-0.9084896448926453+0.17024053969092554j)
26,1.294651,1.0,(0.5020540274161567-0.21110133238834933j),(0.07397761794738969-0.017492823344419133j),(-0.9330713806958734+0.19316948731868958j)
27,1.319552,1.0,(0.4763006713791117-0.1770918376284824j),(0.07039045383764511-0.02317749774671482j),(-0.9550616573601256+0.2112394601383854j)
28,1.344104,1.0,(0.4554570917299347-0.14212564125331784j),(0.06628032531726047-0.027998327377915716j),(-0.9753553446833878+0.22419426068323706j)
29,1.368322,1.0,(0.43908753875413314-0.10745651074632857j),(0.06185048169553795-0.031956975668066004j),(-0.9947443142951441+0.23209499603081227j)
30,1.392219,1.0,(0.4265640920014212-0.07405152300640012j),(0.057275575250840365-0.03509756230449121j),(-1.0138514978726587+0.23523529703096765j)
31,1.415806,1.0,(0.41717431642277897-0.042597658851852085j),(0.0526963836115433-0.03749159863678311j),(-1.033109116924982+0.23405838608094465j)
32,1.439097,1.0,(0.4101998136962991-0.013528133744800844j),(0.04821865939291892-0.039225712821887804j),(-1.0527654517374248+0.2290844977044528j)
33,1.462101,1.0,(0.4049753512299216+0.012916690977433046j),(0.04391843791119246-0.04038989357717739j),(-1.0729059559645653+0.22085935223108624j)
34,1.48483,1.0,(0.40091264096567353+0.036653117246998095j),(0.03984535838936264-0.04107223901127802j),(-1.0934848977328313+0.20991641010138232j)
35,1.507292,1.0,(0.39751625642798655+0.057700235368412386j),(0.036029503825097335-0.0413536240530546j),(-1.1143530178364596+0.19675867273627157j)
36,1.529498,1.0,(0.3943813906981224+0.07615160683941884j),(0.03248512499040547-0.041306224047831505j),(-1.1352940132490912+0.1818437961575051j)
37,1.551455,1.0,(0.3911882546814173+0.09214095754465206j),(0.02921606448739727-0.040992571655774294j),(-1.1560392507797728+0.16558841399169155j)
38,1.573171,1.0,(0.387691185654019+0.10582674794819255j),(0.026218346662211737-0.04046599054896458j),(-1.1762925200160133+0.14836383506699427j)
39,1.594656,1.0,(0.38370665938606874+0.11737827775058135j),(0.023482697307452144-0.0397713434137083j),(-1.1957445254193362+0.13050114154457862j)
40,1.615915,1.0,(0.3791054192182005+0.12696203013833032j),(0.02099728942395623-0.038945768242345545j),(-1.2140781575901927+0.11229954719780406j)
