,omega_0 [rad/s],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
0,0.4224374,1.0,(-0.7017022509376447+0.049067669656630127j),(-0.15237896724067151+0.05333656633944053j),(-0.9355029611594651-0.026248087608026605j)
1,0.4716629,1.0,(-0.5165749610383584+0.06639622560850071j),(-0.1338976979643399+0.05974202128210568j),(-0.8174941517630275-0.022562102879851997j)
2,0.5183458,1.0,(-0.3612230196026071+0.05987549443426579j),(-0.11830302359117328+0.06399737807118583j),(-0.7190095989419073-0.031843984313040974j)
3,0.5628436,1.0,(-0.22999493712934763+0.03911369634681442j),(-0.10496580062402623+0.06706869992179454j),(-0.6368020871132297-0.04813209377482902j)
4,0.605437,1.0,(-0.11807364222740586+0.00959898913632467j),(-0.09333627768128946+0.06950400811838016j),(-0.5681257136813879-0.06792787965896102j)
5,0.6463515,1.0,(-0.021700342076926178-0.025540079251658836j),(-0.0829650067150104+0.07160932067043567j),(-0.5108646327536817-0.0891281869614666j)
6,0.6857713,1.0,(0.061935302509018526-0.0645208369859249j),(-0.07349235991623675+0.07354914216479562j),(-0.46346523215095514-0.11040933934360267j)
7,0.723849,1.0,(0.1348632345438776-0.1063520161331242j),(-0.06462842408084148+0.07539887431864578j),(-0.4248153074512848-0.13088539932436527j)
8,0.7607132,1.0,(0.19849295953843105-0.15048913361930055j),(-0.05613809444715881+0.0771762006613606j),(-0.3941379136020655-0.14989741745161045j)
9,0.7964728,1.0,(0.2537321615212242-0.1966305707771055j),(-0.04782938353379644+0.07885642379028002j),(-0.370896616293326-0.16688796788384552j)
10,0.8312218,1.0,(0.3010875601681395-0.24458177507192302j),(-0.03954574292797181+0.08038159151900447j),(-0.35471768536896353-0.18132233091039338j)
11,0.865041,1.0,(0.34072659627355983-0.2941531195726218j),(-0.03116344133788255+0.08166316583374486j),(-0.3453119494034611-0.19263597067062319j)
12,0.8980014,1.0,(0.37255441050905824-0.34507322742598834j),(-0.0225922679884952+0.0825865079831834j),(-0.3424100604650688-0.20020447007404366j)
13,0.9301654,1.0,(0.39626809828165543-0.3969178699906937j),(-0.013779184508480109+0.08301165888500957j),(-0.34568745389985533-0.20333256393715754j)
14,0.961588,1.0,(0.41144148362026817-0.4490340115576903j),(-0.004716084388579065+0.0827797046206056j),(-0.35469214276470795-0.20126560037898472j)
15,0.9923182,1.0,(0.4176198443836039-0.5004895616135818j),(0.004552575583530666+0.081720381444787j),(-0.3687771392517383-0.19322885360884334j)
16,1.0224,1.0,(0.41444590790337915-0.5500377491361975j),(0.013921224418857462+0.07966651252347777j),(-0.38703901266579965-0.17849772603233122j)
