,omega_0 [rad/s],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
0,0.4224374,1.0,(-0.8375366651553717-0.6793794661891356j),(-0.08873212425265084-0.04487011850565146j),(-0.42477647476765534-0.3889516193420774j)
1,0.4716629,1.0,(-0.7619787664223922-0.5903608404991001j),(-0.08184484180891885-0.036472858913902326j),(-0.36701730715535064-0.3305667003714581j)
2,0.5183458,1.0,(-0.6918178270942796-0.526664777768893j),(-0.07550188081342615-0.03069325679815817j),(-0.31283001462516596-0.2864510208771542j)
3,0.5628436,1.0,(-0.6283950653542978-0.4803132352810512j),(-0.06982347358262798-0.026729467551015074j),(-0.26309089222322746-0.25175972853824435j)
4,0.605437,1.0,(-0.5716505624494197-0.44596292767994883j),(-0.06478940142687867-0.024049070132273646j),(-0.217829454785658-0.22324748233897307j)
5,0.6463515,1.0,(-0.5210265825622332-0.42001090055433693j),(-0.06033069486036974-0.02229827137476267j),(-0.17677009502343444-0.1987287105542273j)
6,0.6857713,1.0,(-0.47584663513278475-0.3999857007596406j),(-0.05636835214339581-0.021240162176178887j),(-0.1395587676845667-0.1767111272808946j)
7,0.723849,1.0,(-0.4354650435531564-0.3841512161142068j),(-0.05282902118391397-0.020714649765038517j),(-0.1058501488818989-0.156158490296521j)
8,0.7607132,1.0,(-0.3993157761224134-0.3712535290158127j),(-0.0496504359148683-0.0206128255682769j),(-0.07533485823847513-0.13633975403184856j)
9,0.7964728,1.0,(-0.3669205101963486-0.36035563873125653j),(-0.04678322880714872-0.020860127100486632j),(-0.04774258795268519-0.11673314078727694j)
10,0.8312218,1.0,(-0.3378769712232899-0.3507299661407807j),(-0.04419075937565514-0.021405160354594645j),(-0.022833601592730766-0.09696523354902976j)
11,0.865041,1.0,(-0.31184255478240464-0.34178707407814546j),(-0.041848766334127506-0.022211841291307797j),(-0.0003888692269895591-0.07677409762510187j)
12,0.8980014,1.0,(-0.28851159420129424-0.33302839293985076j),(-0.03974456834422118-0.023253290539405114j),(0.01980131585092325-0.05598675460589219j)
13,0.9301654,1.0,(-0.267594000772757-0.3240172086528287j),(-0.03787626599643489-0.024506948399261923j),(0.03794531052300884-0.03450971881012693j)
14,0.961588,1.0,(-0.24879352616072098-0.31436419908466195j),(-0.03625148652591002-0.025950185511738378j),(0.05425390868906925-0.0123262845979094j)
15,0.9923182,1.0,(-0.23178729224070121-0.3037249832901616j),(-0.03488543521351901-0.0275562403538519j),(0.0689393782967826+0.010500164341279622j)
16,1.0224,1.0,(-0.21621071374135692-0.2918095472123321j),(-0.033797947832779535-0.0292907397482662j),(0.08220659777377046+0.0338214173523011j)
17,1.051872,1.0,(-0.20165014297367484-0.2784022683195559j),(-0.03300925805731788-0.031108803861835847j),(0.09423588830209839+0.057400177708663375j)
18,1.080771,1.0,(-0.18764806058511704-0.2633863427651518j),(-0.0325345246170548-0.03295434192562727j),(0.10516092750700481+0.08091628200038091j)
19,1.109129,1.0,(-0.17372647040372952-0.2467702540849526j),(-0.03237807019738893-0.03476112851473901j),(0.1150405716044289+0.10397841865687532j)
20,1.136975,1.0,(-0.15942369918202456-0.2287036818971533j),(-0.032527929167738424-0.036456966284638605j),(0.12383625958464364+0.12615354468637213j)
21,1.164335,1.0,(-0.1443431398582799-0.20947664864479965j),(-0.03295241348485348-0.037970390325472544j),(0.13139969486279093+0.14700781963895276j)
22,1.191235,1.0,(-0.12819995695784495-0.18949186427485581j),(-0.03360034318404563-0.03923890983659472j),(0.13748017007843172+0.16615470301404442j)
23,1.217696,1.0,(-0.11085895850618638-0.16922126837361842j),(-0.03440498837740759-0.04021631818635768j),(0.14174977538057865+0.18329178213771014j)
24,1.24374,1.0,(-0.09234205030125177-0.14914440715711322j),(-0.035290983866908265-0.04087783223012363j),(0.14384585250538903+0.19823185894742854j)
25,1.269386,1.0,(-0.07281607625612699-0.12969265236593602j),(-0.03618303997343194-0.04122135634270849j),(0.14341898323019608+0.21090475341678616j)
26,1.294651,1.0,(-0.05255496714037064-0.11120677704923802j),(-0.03701358579409769-0.04126482893822013j),(0.14017489018698978+0.2213425715302191j)
27,1.319552,1.0,(-0.031892004883819505-0.09391397068669897j),(-0.037728363229203934-0.0410411832685537j),(0.13390370191293363+0.2296523040541623j)
28,1.344104,1.0,(-0.01117481556205244-0.0779302955018241j),(-0.03828875454685853-0.040591823493984366j),(0.12449062726708668+0.23598040059510614j)
29,1.368322,1.0,(0.009271609527305491-0.06327494630835302j),(-0.03867164841240964-0.03996086121094056j),(0.11191358323386245+0.24048334337351474j)
30,1.392219,1.0,(0.02916640613119781-0.04989583222167056j),(-0.038867290689597024-0.0391905297225322j),(0.09623085384535879+0.2433040283712947j)
31,1.415806,1.0,(0.048282932854841226-0.03769509487204061j),(-0.03887623329618719-0.03831834935283147j),(0.07756467877256742+0.24455893620633662j)
32,1.439097,1.0,(0.06645346701261685-0.026547958414651435j),(-0.038706395808515585-0.03737560554088823j),(0.056081537171328466+0.2443328266657804j)
33,1.462101,1.0,(0.0835575212333735-0.016325308755956502j),(-0.03837004321758756-0.036387289114791846j),(0.03198162020770227+0.24267911267846215j)
34,1.48483,1.0,(0.09952006972384199-0.006900123898496157j),(-0.03788188479831305-0.03537230087548433j),(0.005482329062718727+0.23962343326211705j)
35,1.507292,1.0,(0.1142971959527453+0.0018416048045119468j),(-0.037257434604273346-0.03434458962886619j),(-0.02318367469338352+0.2351701339566719j)
36,1.529498,1.0,(0.12787299738626604+0.01000027853099323j),(-0.03651186489300788-0.03331369918321651j),(-0.0537816596141902+0.22930746354026657j)
37,1.551455,1.0,(0.1402479170227717+0.01765914175181852j),(-0.03565965720468128-0.03228606747236228j),(-0.0860694442415276+0.2220143652268854j)
38,1.573171,1.0,(0.15143634919835622+0.02488640801472343j),(-0.03471407888667457-0.03126556858693248j),(-0.11980532512240716+0.21326510761505166j)
